question_id,r@1,r@3,r@5,r@10,r@15,contexts,ground_truth
11,1,1,1,1,1,8-48-829-2|8-48-1563-2|8-48-829-1|8-48-1505-1|8-48-1563-1|8-48-1459-1|1-16-941-1|1-16-773-1|1-16-1103-2|1-16-781-1|1-16-779-1|8-47-1344-1|5-28-514-2|8-48-691-3|10-89-514-2,8-48-829-2
12,1,1,1,1,1,8-44-927-2|8-44-929-2|10-88-927-2|10-88-929-1|10-88-927-3|10-88-927-4|8-44-927-4|10-57-859-2|8-44-929-1|10-55-933-3|10-88-933-3|8-44-927-3|8-44-927-1|10-88-927-1|8-44-929-3,8-44-927-2
13,1,1,1,1,1,8-48-1562-2|1-15-608-1|1-16-1600-6|8-47-692-1|1-16-1602-5|1-16-614-3|8-47-1263-1|10-94-2102-1|8-48-686-1|6-37-17-2|8-47-1342-1|10-65-390-4|1-16-1105-2|4-91-714-1|10-55-818-2,8-48-1562-2
14,0,1,1,1,1,8-47-1263-2|8-47-1263-1|8-47-1263-3|8-47-1264-2|8-47-1638-1|8-47-1262-2|8-47-1264-3|8-47-1262-1|8-47-1265-2|8-47-1264-1|8-47-1264-4|8-47-1262-3|8-47-1265-3|8-47-1265-1|8-48-1280-1,8-47-1263-3
15,1,1,1,1,1,8-47-1768-2|8-47-1768-1|8-47-1768-4|8-47-1780-2|8-47-1770-3|8-47-1776-2|8-47-1770-2|8-47-1769-2|8-47-1772-1|8-47-1781-3|8-47-1777-1|8-47-1771-1|8-47-1774-2|8-47-1768-3|10-94-2089-1,8-47-1768-2
16,0,1,1,1,1,8-47-1768-2|8-47-1768-4|8-47-1768-1|8-47-1770-2|8-47-1776-2|8-47-1769-2|8-47-1774-2|8-47-1768-3|12-70-1431-2|8-47-1780-2|8-47-1771-1|12-70-1429-2|8-47-1770-3|8-47-1772-1|8-47-815-2,8-47-1768-1
17,0,0,0,0,0,8-47-1782-4|8-47-1346-2|8-47-1178-1|8-48-691-1|10-94-2089-1|8-47-1263-1|8-47-1264-1|10-58-559-7|8-47-1638-1|8-48-1350-1|8-47-816-2|8-47-817-2|8-48-1504-1|8-47-1264-2|8-47-1344-1,8-47-693-2
18,1,1,1,1,1,8-44-1270-3|8-44-1269-5|8-44-1269-6|7-43-1270-3|8-47-817-2|11-67-1269-6|8-47-1207-2|10-62-1269-7|10-59-1270-3|10-55-1269-7|10-57-1270-3|10-55-1269-8|11-67-1269-7|8-47-693-2|10-59-1269-7,8-44-1270-3
19,0,1,1,1,1,8-47-1320-3|8-47-1321-1|8-47-1322-1|8-44-1325-1|8-47-1324-2|8-47-1307-1|8-44-688-2|8-44-1327-2|5-31-1326-1|5-31-1323-1|8-47-1782-3|8-48-1330-1|8-47-1324-1|10-60-2087-6|8-47-1320-2,8-47-1321-1
20,1,1,1,1,1,8-48-697-2|8-47-699-2|8-48-695-1|12-71-770-2|8-48-697-1|2-75-2283-2|8-48-694-2|12-95-1118-2|11-67-1117-2|12-70-768-2|8-47-817-2|2-21-2274-2|6-86-691-4|12-71-771-2|5-29-698-1,8-48-697-2
21,1,1,1,1,1,8-47-817-1|8-46-826-1|8-46-827-2|11-66-749-2|8-45-563-6|10-57-1290-2|12-70-1427-2|10-64-568-5|10-62-1276-2|11-66-750-2|11-68-1216-3|4-27-451-2|10-58-559-6|10-88-932-4|4-27-434-2,8-47-817-1
22,0,0,1,1,1,8-47-1254-1|8-47-1252-1|8-47-1258-1|3-25-2368-4|8-47-1259-1|8-47-1222-1|3-25-2368-1|3-25-2368-2|3-25-2368-5|7-41-590-2|3-25-2368-3|7-39-570-4|7-41-512-4|8-47-1263-3|8-47-1264-1,8-47-1259-1
23,0,1,1,1,1,8-47-1770-1|8-47-1776-1|8-47-1780-1|8-47-1768-3|8-47-1781-2|8-47-1768-1|8-47-1781-1|10-65-415-4|8-47-1284-1|8-47-1777-1|8-47-1771-1|10-57-428-3|10-57-429-3|10-65-426-3|8-47-1772-1,8-47-1776-1
24,1,1,1,1,1,8-46-827-1|8-46-827-3|8-46-826-1|10-58-560-5|8-46-827-2|3-25-806-1|2-21-598-1|8-48-828-1|2-21-557-3|8-47-1204-1|10-58-593-1|3-25-809-2|2-21-604-1|3-25-806-2|2-22-712-1,8-46-827-1
25,1,1,1,1,1,8-47-1252-1|8-47-1254-1|8-47-1259-1|8-47-1258-1|8-47-1222-1|3-25-2368-3|3-25-2368-2|3-25-2368-4|8-47-1263-3|8-47-1263-2|3-25-2368-1|8-48-1280-1|8-47-1281-1|8-47-1265-3|3-25-806-1,8-47-1252-1
26,1,1,1,1,1,8-47-1264-1|8-47-1638-1|8-47-1265-1|8-47-1262-1|8-47-1263-1|8-47-1264-2|8-47-1262-2|8-47-1265-2|8-47-1264-3|8-47-1266-1|8-47-1263-2|8-47-1264-4|8-47-1263-3|8-47-1262-3|8-47-1254-1,8-47-1264-1
27,1,1,1,1,1,8-47-699-1|8-48-1308-1|8-48-687-2|8-47-699-2|7-41-571-2|8-48-1581-1|7-41-569-1|8-48-1562-1|7-43-574-2|8-47-1346-1|8-45-563-4|8-47-1314-1|8-48-687-1|7-43-574-3|7-39-879-1,8-47-699-1
28,1,1,1,1,1,8-48-829-1|8-48-829-2|8-48-1563-2|8-48-1563-1|8-48-1505-1|8-47-1344-1|1-16-941-3|8-48-1459-1|1-16-941-1|6-86-768-1|8-47-1324-1|1-16-781-1|1-16-1103-2|8-47-692-2|12-70-768-1,8-48-829-1
29,1,1,1,1,1,8-45-563-6|8-45-563-1|8-45-563-5|8-45-563-2|2-21-564-6|2-21-564-3|2-21-564-7|12-70-1159-1|2-21-564-2|8-45-563-3|10-64-568-2|10-64-568-5|10-65-587-2|12-70-1427-2|2-21-564-1,8-45-563-6
30,1,1,1,1,1,8-47-1264-2|8-47-1264-4|8-47-1264-3|8-47-1264-1|8-47-1265-2|8-47-1263-2|8-47-1262-2|8-48-1280-1|8-47-1263-3|8-47-1638-1|8-47-1262-3|8-47-1262-1|8-47-1265-3|8-48-1280-2|8-47-1263-1,8-47-1264-2
31,0,1,1,1,1,11-68-1216-2|8-47-1284-1|8-47-817-1|8-47-1307-1|10-57-414-4|8-47-1782-3|8-48-687-1|8-44-1325-1|8-47-1346-1|8-46-826-1|12-70-1159-1|8-45-563-6|8-47-1262-1|8-47-1284-3|12-70-1427-2,8-47-1284-1
32,1,1,1,1,1,8-47-1206-1|1-16-1602-3|1-16-781-1|3-25-811-1|3-25-812-1|8-45-1110-1|8-45-1111-1|1-16-1600-5|6-35-1274-1|10-59-1274-1|6-36-1609-1|10-62-1274-1|6-36-1274-1|1-16-1600-1|8-47-1208-1,8-47-1206-1
33,1,1,1,1,1,8-48-1563-1|8-48-1563-2|8-48-1505-1|8-48-829-1|8-48-1459-1|8-47-1344-1|8-47-1324-1|8-48-1504-1|8-48-690-1|8-48-1581-1|8-48-829-2|8-48-691-3|6-86-690-1|8-47-692-1|8-46-827-1,8-48-1563-1
34,1,1,1,1,1,8-44-1327-3|8-44-1327-2|8-47-1207-2|8-44-688-3|8-44-1327-1|10-60-1141-12|8-47-1324-2|8-48-1330-1|2-22-709-2|8-48-687-2|8-47-1307-3|10-59-1269-7|10-65-397-5|8-47-1314-1|5-31-1326-1,8-44-1327-3
35,1,1,1,1,1,8-47-1770-1|8-47-1776-1|8-47-1768-3|8-47-1768-1|8-47-1777-1|10-57-428-3|8-47-1771-1|10-65-426-3|10-65-415-4|8-47-1780-1|8-47-1772-1|8-47-1770-2|10-57-414-3|10-59-435-5|10-57-409-3,8-47-1770-1
36,1,1,1,1,1,8-47-1344-1|1-16-941-1|1-16-620-1|1-16-941-3|1-16-782-1|1-16-1103-3|1-16-786-1|1-16-943-1|1-16-777-1|1-16-773-1|1-16-1166-1|1-16-1105-1|1-16-781-1|1-16-1103-4|1-16-1600-5,8-47-1344-1
37,1,1,1,1,1,8-47-1307-2|6-37-387-1|8-47-1307-3|8-47-1324-2|6-37-387-2|8-44-1327-3|8-48-1330-1|8-44-1327-2|8-47-1320-3|5-31-1326-1|6-37-375-3|8-47-1322-1|6-37-375-2|8-47-1321-1|8-47-1314-1,8-47-1307-2
38,1,1,1,1,1,8-44-929-2|10-88-929-2|10-88-929-1|8-44-929-1|10-88-927-3|8-44-927-3|8-44-927-2|10-88-927-2|10-55-933-4|10-57-566-1|11-66-750-1|9-50-581-6|10-65-408-5|11-66-735-1|5-28-933-2,8-44-929-2
39,1,1,1,1,1,8-47-1893-1|12-70-1144-4|12-70-1144-5|10-58-560-4|8-47-1320-1|10-56-1174-1|12-70-1144-1|8-47-1778-1|2-21-1622-1|2-21-564-7|8-45-563-1|10-58-559-1|10-58-560-5|2-21-594-1|10-57-565-9,8-47-1893-1
40,1,1,1,1,1,8-47-1320-3|8-46-826-1|8-47-1322-1|8-47-1782-3|12-70-1144-3|8-44-1325-1|8-46-827-2|12-70-1427-2|10-55-818-2|10-60-1141-11|9-50-581-9|8-47-1301-1|8-46-827-3|8-47-1321-1|8-48-1282-1,8-47-1320-3
41,0,0,0,0,1,11-67-1269-7|10-55-1269-8|11-67-1269-6|10-62-1269-7|10-89-1269-7|10-55-1269-7|1-16-1423-3|10-59-1269-7|6-86-691-4|11-66-734-2|5-31-2063-1|8-44-1269-6|7-43-1270-3|7-41-2284-2|6-38-850-3,8-44-1269-6
42,0,0,1,1,1,10-94-2089-1|10-94-2091-2|8-47-1263-3|8-47-1262-3|8-47-817-2|12-71-1209-2|8-47-1209-1|4-91-1095-2|8-48-1350-2|8-47-1264-4|8-47-1263-2|8-47-1262-2|8-47-1264-3|8-44-1269-6|8-47-1349-1,8-47-1262-3
43,0,1,1,1,1,12-70-1431-2|8-47-1776-2|8-47-1775-1|8-47-1769-2|8-47-1768-2|8-47-1768-4|8-47-1284-3|10-57-1287-2|8-47-815-2|8-47-817-2|8-47-1780-2|12-70-1429-2|2-21-564-7|8-47-693-2|8-47-1770-2,8-47-1775-1
44,1,1,1,1,1,8-47-692-2|8-47-1263-3|8-47-1346-2|6-86-691-4|8-47-1263-2|8-48-1350-1|8-48-1350-2|1-16-1103-4|8-47-1344-1|8-47-1207-2|8-48-691-3|8-44-1269-6|8-47-693-2|8-48-1459-1|8-48-1563-2,8-47-692-2
45,1,1,1,1,1,8-48-691-1|6-86-691-1|8-48-691-3|6-86-691-3|8-48-691-2|8-47-1324-1|6-86-691-2|8-48-1282-1|8-48-690-1|8-47-1342-1|8-47-1344-1|8-48-691-4|6-86-690-2|8-47-817-1|11-67-1343-1,8-48-691-1
46,1,1,1,1,1,8-47-1781-2|8-47-1780-1|8-47-1781-1|8-44-929-2|8-47-1779-1|8-47-1783-1|8-47-815-1|8-47-1776-1|8-47-1781-3|8-47-1782-3|8-47-1770-1|8-47-1778-1|8-47-1768-1|8-47-1782-2|8-47-816-1,8-47-1781-2
47,1,1,1,1,1,8-48-828-4|8-48-828-3|6-35-1790-1|11-67-1269-5|3-90-1790-1|8-48-828-2|10-61-1790-1|10-57-565-1|2-23-754-1|2-23-751-1|10-57-1290-1|10-58-593-3|10-57-1270-1|10-57-1285-1|10-57-859-2,8-48-828-4
48,1,1,1,1,1,8-44-688-2|8-47-1782-3|10-55-818-3|10-57-566-2|10-55-818-2|10-65-408-7|9-50-581-9|8-44-1327-2|10-60-1141-11|8-44-688-1|8-44-929-3|8-44-1325-1|8-48-687-1|8-44-927-4|2-21-1622-1,8-44-688-2
49,0,1,1,1,1,8-45-1113-1|8-45-1113-2|8-45-1113-3|10-57-565-5|8-45-1114-2|8-45-563-1|8-45-1111-1|10-57-428-1|8-45-1112-2|2-21-564-6|10-57-565-10|10-57-565-2|8-45-1110-1|8-45-1114-1|8-45-1112-1,8-45-1113-3
50,1,1,1,1,1,8-48-828-1|8-48-828-2|8-48-828-3|8-48-828-5|8-44-1269-5|10-59-1269-4|10-55-1269-4|8-46-1599-1|10-62-1269-4|8-44-1269-3|10-89-1269-4|8-46-1599-2|8-46-827-1|8-48-1505-1|10-62-1269-6,8-48-828-1
51,0,1,1,1,1,8-46-826-2|8-46-826-1|8-46-827-1|8-46-1599-1|8-46-1599-2|8-46-827-2|8-48-828-3|8-48-1505-1|8-46-827-3|3-25-806-1|8-48-828-1|8-47-1346-1|8-48-1504-1|8-48-1581-1|8-47-699-1,8-46-826-1
52,1,1,1,1,1,8-47-1204-1|8-47-693-1|10-58-559-1|10-58-560-3|10-58-559-2|2-21-561-2|2-21-605-1|10-58-559-3|10-58-559-5|2-21-557-1|10-58-559-4|8-45-563-1|2-21-561-3|3-25-806-1|3-25-809-2,8-47-1204-1
53,1,1,1,1,1,8-48-1280-1|8-48-1280-2|8-47-1264-1|3-25-806-1|8-47-1259-1|8-47-1301-1|8-47-1301-2|8-47-1252-1|8-48-1282-2|8-48-1282-1|8-47-1263-1|8-47-1264-2|8-47-1254-1|8-47-1638-1|8-47-1263-3,8-48-1280-1
54,1,1,1,1,1,8-47-1281-2|12-70-1427-2|10-55-818-3|2-75-1804-2|11-67-1645-2|10-55-818-2|10-88-932-5|8-46-826-1|8-47-1222-1|10-62-1276-2|12-70-1144-3|8-46-827-2|11-66-749-2|8-47-1258-1|8-46-830-1,8-47-1281-2
55,0,0,1,1,1,8-47-1252-1|8-47-1258-1|8-47-1259-1|8-47-1254-1|8-47-1222-1|3-25-2368-2|8-47-1263-3|3-25-2368-4|3-25-2368-3|8-47-1263-2|8-47-1265-3|4-27-448-1|3-25-2368-1|8-47-1265-2|8-47-1638-1,8-47-1254-1
56,1,1,1,1,1,8-47-1781-3|8-47-1770-2|8-47-1776-2|8-47-1780-1|8-47-1768-2|8-47-1346-2|8-47-1769-2|8-47-1780-2|8-47-1781-1|8-47-1782-4|8-47-1284-3|8-47-815-2|8-47-1768-1|8-47-1770-3|8-47-1768-4,8-47-1781-3
57,1,1,1,1,1,8-45-563-5|8-45-563-6|2-21-564-7|8-45-563-1|2-21-564-6|8-45-563-2|2-21-564-3|8-47-1284-3|12-70-1159-3|10-57-410-4|8-45-563-3|12-70-1159-2|2-21-564-2|12-70-1144-5|10-57-566-5,8-45-563-5
58,1,1,1,1,1,8-47-1771-1|8-47-1284-3|10-57-409-1|10-57-1278-4|10-57-428-1|8-47-1284-2|8-47-1780-1|8-47-1769-1|10-57-414-1|10-57-428-4|8-47-1770-2|8-47-1770-1|10-57-565-4|8-47-1781-3|10-57-565-1,8-47-1771-1
59,1,1,1,1,1,8-48-1562-1|1-16-779-1|8-48-1505-1|8-47-1263-1|8-47-1324-1|8-48-691-3|1-16-773-1|8-47-1344-1|1-16-1600-5|8-45-1114-1|6-86-768-1|8-48-697-1|8-48-829-1|6-37-17-2|12-70-768-1,8-48-1562-1
60,0,0,0,0,0,3-25-806-1|8-46-826-1|8-46-827-2|8-46-827-1|3-25-809-1|3-25-809-2|8-46-826-2|8-44-1270-4|8-47-1281-1|8-46-827-3|3-25-2368-3|8-46-1599-1|8-48-1504-1|3-25-814-1|8-44-1269-7,3-25-809-3
61,1,1,1,1,1,3-90-1790-2|10-61-1790-2|6-35-1790-2|10-61-1790-1|3-90-1790-1|6-35-1790-1|10-61-1790-4|6-35-1790-3|10-61-1790-3|3-90-1790-4|3-90-1790-3|2-75-2283-1|1-16-1602-1|10-58-559-2|7-43-573-3,3-90-1790-2
62,1,1,1,1,1,3-24-725-2|6-38-588-10|3-24-724-2|11-66-715-1|6-38-588-3|11-68-1216-3|11-66-717-1|3-24-724-1|11-66-1162-1|3-24-726-1|11-66-721-1|11-66-719-1|11-66-720-1|3-24-723-1|6-38-588-7,3-24-725-2
63,1,1,1,1,1,3-25-567-3|3-25-567-4|7-41-569-6|3-25-567-1|3-25-567-2|7-41-590-2|7-39-1154-3|10-58-560-5|8-44-1269-5|6-38-851-1|7-39-570-4|10-57-565-6|7-43-628-2|7-41-590-1|3-25-812-1,3-25-567-3
64,1,1,1,1,1,3-90-805-3|3-90-805-2|3-24-799-6|9-52-585-5|9-52-585-1|6-38-852-1|6-38-588-9|9-52-10-1|6-38-588-10|6-38-852-2|9-52-585-2|9-52-7-1|6-38-588-8|9-52-1603-1|7-41-512-4,3-90-805-3
65,1,1,1,1,1,3-24-1856-1|3-24-723-1|3-24-801-2|3-24-802-1|3-24-726-1|3-24-1038-1|3-24-801-3|3-24-800-3|3-24-801-1|3-24-800-1|3-24-1038-3|3-24-799-1|3-24-1836-1|3-24-803-2|3-24-799-2,3-24-1856-1
66,1,1,1,1,1,3-25-567-4|3-25-567-2|3-25-567-3|6-38-589-3|7-39-570-1|7-41-590-2|7-41-571-1|3-24-799-3|5-28-419-5|7-41-569-6|3-26-867-1|3-26-1156-8|6-38-851-2|3-25-567-1|6-38-850-1,3-25-567-4
67,1,1,1,1,1,3-25-812-1|3-25-1860-1|3-25-807-3|3-25-811-1|7-43-1270-1|10-62-1269-2|10-57-1270-1|3-25-807-1|7-43-1270-2|8-44-1270-2|3-25-1859-1|10-55-1269-2|10-59-1270-1|8-44-1270-1|3-25-807-2,3-25-812-1
68,1,1,1,1,1,3-24-1852-1|3-24-1852-3|3-24-1852-2|3-24-801-3|3-24-801-2|3-24-799-6|3-24-799-1|3-24-726-1|3-24-1858-1|3-24-723-1|3-24-799-5|3-24-801-1|3-24-800-3|3-24-800-1|3-24-1848-1,3-24-1852-1
69,0,0,0,0,1,10-59-1269-7|7-41-2284-2|10-59-1269-8|10-55-1269-7|8-44-1269-6|11-67-1269-6|10-89-1269-7|10-62-1269-7|11-67-1269-7|7-43-1270-3|3-90-1837-1|8-44-1269-5|10-55-1269-8|10-61-762-3|8-44-1270-3,3-90-1837-1
70,0,0,0,1,1,10-65-587-1|10-57-565-6|10-57-565-10|10-57-565-7|6-37-2328-1|12-70-622-2|3-26-1156-1|10-65-397-2|10-65-397-1|11-68-931-2|10-55-931-2|10-65-587-2|2-23-755-1|10-65-402-2|11-68-931-3,3-26-1156-1
71,1,1,1,1,1,3-24-723-1|3-24-803-2|3-24-726-1|3-24-801-2|3-24-799-3|3-24-800-3|3-24-800-2|3-24-800-1|3-24-1836-1|3-24-799-1|3-24-1848-1|3-24-801-1|3-24-799-2|3-24-1852-2|3-24-724-2,3-24-723-1
72,1,1,1,1,1,3-25-1861-2|3-25-1861-1|3-25-1860-1|3-25-809-3|3-25-1860-3|3-25-1860-4|3-25-1860-2|6-37-375-9|3-25-813-2|10-59-1270-4|3-25-809-1|10-61-1790-3|3-25-812-1|6-37-375-8|7-41-569-4,3-25-1861-2
73,1,1,1,1,1,3-26-866-1|10-60-2087-9|9-50-581-9|10-60-2087-10|9-50-581-1|9-50-581-2|10-60-2087-6|10-60-2087-7|9-50-1561-1|10-60-2087-8|10-60-2087-2|10-60-2087-5|9-50-581-4|3-90-1790-3|9-50-579-4,3-26-866-1
74,1,1,1,1,1,3-24-799-6|6-38-588-10|6-38-588-6|10-59-435-5|10-65-424-5|10-57-565-13|10-65-426-3|5-31-469-4|10-57-428-3|3-24-803-2|11-66-715-1|2-21-564-3|10-65-420-6|10-57-566-1|10-57-409-3,3-24-799-6
75,1,1,1,1,1,3-82-1862-1|3-25-2368-4|10-65-413-4|10-65-413-5|3-25-1860-1|10-65-420-6|10-65-408-3|10-65-424-1|10-65-587-2|10-65-415-5|10-65-408-1|10-65-420-3|10-65-413-1|10-65-408-7|10-65-587-3,3-82-1862-1
76,1,1,1,1,1,3-25-807-2|3-25-812-1|3-25-1860-1|3-25-1859-1|3-25-2368-1|3-25-807-1|3-25-807-3|3-25-811-1|10-59-1269-3|10-89-1269-3|3-24-801-2|3-25-1861-1|10-55-1269-3|1-16-781-1|7-41-590-2,3-25-807-2
77,1,1,1,1,1,3-24-803-2|3-24-723-1|3-24-726-1|3-24-800-3|3-24-803-1|3-24-799-1|3-24-1848-1|3-24-799-2|3-24-1852-3|3-24-800-1|3-24-801-3|3-24-800-2|3-24-801-2|3-24-1858-1|9-50-581-6,3-24-803-2
78,0,0,0,1,1,3-25-1860-1|3-25-812-1|3-25-806-1|3-25-807-1|3-25-2368-1|3-25-811-1|3-25-807-2|3-25-807-3|3-25-809-2|8-46-827-1|3-25-806-2|8-47-693-1|2-21-598-1|3-25-1859-1|3-25-1860-4,3-25-811-1
79,1,1,1,1,1,3-24-2367-1|3-25-2368-3|3-25-2368-1|3-25-2368-2|3-25-2368-4|3-25-2368-5|3-90-1790-3|10-61-1790-3|3-90-1790-4|6-35-1790-3|3-24-799-4|3-24-800-3|3-24-799-5|10-94-2094-1|3-25-1861-2,3-24-2367-1
80,1,1,1,1,1,3-26-1156-7|10-57-565-2|10-57-565-5|3-24-800-3|8-45-563-1|10-65-390-5|10-57-566-2|3-24-799-2|10-64-568-3|3-24-799-3|10-57-565-6|1-16-1606-1|10-57-565-13|10-65-404-2|10-57-566-5,3-26-1156-7
81,0,1,1,1,1,3-25-1860-1|3-25-1860-4|3-25-1860-3|3-25-1861-1|3-25-812-1|3-25-1859-1|3-25-807-1|3-25-2368-1|3-25-1860-2|3-25-811-1|3-24-726-1|3-24-801-2|3-24-723-1|3-90-1790-1|3-25-666-1,3-25-1860-3
82,0,1,1,1,1,3-24-726-1|3-24-1848-1|3-24-981-1|3-24-801-2|3-24-801-3|3-24-801-1|7-41-575-2|3-24-723-1|3-24-800-3|9-50-581-3|3-24-1038-1|9-50-581-5|3-24-727-1|6-38-589-4|6-38-589-1,3-24-981-1
83,1,1,1,1,1,3-24-1038-1|3-24-801-2|3-24-1038-3|3-24-1852-1|3-24-1038-2|3-24-1848-1|3-24-800-2|3-24-802-1|3-24-801-1|3-24-1858-1|3-24-1836-1|3-24-799-5|3-24-1858-2|3-24-1856-1|3-24-803-2,3-24-1038-1
84,1,1,1,1,1,3-25-567-1|9-50-581-6|3-25-567-3|9-50-580-2|9-51-582-3|9-51-582-6|9-50-580-3|9-52-585-2|9-51-582-2|7-43-573-1|6-38-589-2|9-50-579-4|9-50-579-2|9-51-582-4|9-50-580-1,3-25-567-1
85,1,1,1,1,1,3-26-775-1|6-37-375-1|6-37-375-10|3-24-802-3|3-90-805-3|3-24-1836-2|3-24-800-3|3-24-1852-1|3-24-800-2|3-25-2368-2|3-24-1848-1|3-24-1858-1|3-90-805-2|3-25-1860-3|3-24-1836-1,3-26-775-1
86,0,0,1,1,1,9-50-579-4|3-25-567-2|9-50-580-3|3-26-867-1|6-35-1790-3|3-25-567-4|9-51-582-6|9-50-580-1|3-90-1790-3|6-38-846-2|10-57-565-4|9-50-580-2|10-61-1790-2|3-25-567-1|3-26-864-1,3-26-867-1
87,1,1,1,1,1,3-24-802-1|3-24-1856-1|3-24-1038-1|3-24-1038-2|3-24-723-1|3-24-726-1|3-24-801-3|3-24-801-2|3-24-1038-3|3-24-802-2|3-24-981-1|3-24-799-1|7-41-987-1|3-24-1852-2|3-24-1858-1,3-24-802-1
88,0,1,1,1,1,3-24-799-2|3-24-800-3|3-24-1836-3|3-24-799-3|3-24-800-2|3-24-1836-1|3-24-1836-2|3-24-799-1|3-24-800-1|3-24-723-1|3-24-726-1|3-24-803-2|3-24-801-2|3-24-1852-2|3-24-802-2,3-24-1836-3
89,0,1,1,1,1,12-71-765-1|3-26-765-1|12-71-765-2|3-26-765-2|12-71-771-2|12-71-764-2|12-71-769-1|8-48-695-1|12-71-771-1|12-71-764-1|12-71-770-1|8-48-696-1|12-71-764-4|2-21-557-1|12-71-767-3,3-26-765-1
90,1,1,1,1,1,3-25-809-1|3-25-809-2|10-61-1790-2|3-25-2368-2|6-35-1790-2|3-25-1860-2|3-25-1860-1|3-25-2368-4|3-25-1861-1|3-90-1790-1|10-89-514-1|3-25-806-1|3-90-1790-2|5-28-514-1|3-25-761-1,3-25-809-1
91,1,1,1,1,1,3-24-799-3|3-24-723-1|3-24-726-1|3-24-799-1|3-24-801-1|3-24-801-2|3-24-801-3|3-24-1848-1|6-38-846-1|3-24-800-3|3-24-800-1|3-24-799-2|3-24-1852-2|3-24-1858-1|6-36-1273-1,3-24-799-3
92,1,1,1,1,1,3-24-800-3|3-24-799-2|3-24-723-1|3-24-801-2|3-24-799-3|3-24-800-2|3-24-800-1|3-24-801-1|3-24-726-1|3-24-1836-1|3-24-803-2|3-24-801-3|3-24-799-1|3-24-1852-2|3-24-1848-1,3-24-800-3
93,0,1,1,1,1,9-51-582-5|9-51-582-1|9-51-582-4|9-51-582-6|9-51-583-4|9-51-582-2|9-51-367-1|9-51-1621-2|9-51-352-1|9-51-1621-1|6-38-847-2|6-38-589-6|9-51-583-5|9-51-583-3|9-51-582-3,9-51-582-4
94,1,1,1,1,1,9-51-583-4|9-51-582-6|9-51-582-1|9-51-582-5|9-52-585-5|9-51-583-5|9-51-583-1|9-51-582-2|9-51-367-1|9-51-582-3|9-51-582-4|9-51-583-2|9-50-580-3|9-52-585-1|9-50-579-4,9-51-583-4
