question_id,r@1,r@3,r@5,r@10,r@15,contexts,ground_truth
12,0,0,0,0,1,10-88-932-1|10-55-933-1|8-44-927-4|10-88-933-1|10-88-927-4|10-55-933-2|5-28-933-1|10-55-933-3|10-88-933-3|5-28-859-2|8-44-927-2|5-28-933-3|5-28-933-2|10-88-933-2|9-54-485-7,8-44-927-2
13,0,0,1,1,1,10-94-2102-1|1-20-2114-3|1-16-614-3|8-48-1562-2|1-20-2113-3|1-16-1210-1|8-47-1254-1|8-47-1263-1|8-47-1346-1|6-86-1210-1|1-16-1600-6|8-48-1210-1|1-16-777-2|8-48-828-5|1-15-608-1,8-48-1562-2
14,0,0,0,0,0,8-47-1263-1|8-47-1638-1|1-16-824-1|10-58-824-1|1-16-614-1|1-20-2116-1|8-48-1210-1|8-47-1264-2|10-58-823-1|1-16-823-1|8-48-691-1|8-47-1281-1|6-86-1210-1|1-16-1210-1|8-47-1346-2,8-47-1263-3
15,0,0,1,1,1,10-94-2093-1|10-94-2095-1|8-47-1284-2|8-48-686-2|8-47-1768-2|10-65-420-2|4-27-649-3|10-65-420-3|10-94-2089-1|10-94-2094-2|10-94-2232-2|4-91-613-1|10-65-1534-1|8-47-1768-1|4-91-607-1,8-47-1768-2
16,0,0,1,1,1,10-94-2232-2|8-47-1774-1|8-47-1777-1|8-47-1768-1|8-47-1771-1|8-47-1782-4|10-65-1534-1|8-48-686-2|8-47-1772-1|7-39-610-1|10-94-2093-1|8-47-1320-3|10-94-2232-3|7-40-479-4|8-47-1258-1,8-47-1768-1
17,0,0,0,0,0,7-39-610-1|10-58-560-6|10-57-565-14|10-58-559-7|8-47-1346-2|8-47-1782-4|8-47-1178-1|8-47-1349-2|8-48-1350-2|8-48-1210-1|4-27-1764-1|1-16-1109-1|6-38-588-1|3-24-2367-1|8-44-1270-3,8-47-693-2
18,1,1,1,1,1,8-44-1270-3|8-47-1782-4|10-94-2095-2|10-55-1275-2|8-47-1178-1|10-94-2232-2|10-94-2102-2|8-44-1327-3|8-47-1349-2|8-44-1327-2|8-48-1350-2|10-94-2091-2|10-94-2098-2|12-70-768-2|10-94-2232-3,8-44-1270-3
19,0,0,0,0,0,8-47-1320-3|8-44-688-2|8-47-1324-2|8-44-1327-2|8-44-1325-1|8-47-1307-1|8-47-1307-3|8-44-688-1|8-47-1320-1|8-44-688-3|1-16-944-1|8-47-1322-1|8-47-1306-1|5-31-1323-1|8-47-1324-1,8-47-1321-1
20,0,0,1,1,1,12-95-1118-2|2-22-1374-2|11-67-836-3|8-48-697-2|11-67-1117-2|11-67-1115-2|8-47-1266-1|6-38-763-2|7-40-1806-2|12-70-768-2|12-71-764-3|10-62-1697-1|11-67-1115-1|1-87-951-1|8-47-1638-1,8-48-697-2
21,1,1,1,1,1,8-47-817-1|1-15-608-1|10-65-1534-1|8-47-1222-1|8-47-1258-1|8-47-1320-3|8-48-1210-1|10-57-429-3|1-16-1210-1|8-47-1782-3|8-48-686-2|10-57-465-1|10-57-428-3|4-27-464-2|3-24-1856-1,8-47-817-1
22,0,0,0,1,1,8-47-1258-1|8-47-1254-1|8-47-1222-1|8-47-1281-1|8-47-1252-1|8-47-1259-1|8-47-1638-1|8-48-1210-1|8-47-1301-1|7-41-1210-1|8-47-1320-3|8-47-1263-1|8-47-1341-1|3-24-802-2|1-16-1210-1,8-47-1259-1
23,0,0,0,0,0,8-47-1771-1|8-45-563-1|10-57-1151-1|8-47-1284-2|8-47-1781-1|8-47-1207-1|8-47-1772-1|10-57-428-1|10-57-428-4|8-47-1770-1|10-57-565-7|10-65-1534-1|8-47-1774-1|8-47-1782-3|8-45-563-2,8-47-1776-1
24,1,1,1,1,1,8-46-827-1|8-46-827-3|8-47-1346-2|8-47-1258-1|10-65-1534-1|8-47-1320-3|10-55-1146-1|8-46-827-2|8-47-1222-1|8-48-828-1|8-47-1301-1|8-47-1346-1|3-25-814-1|8-46-826-1|8-47-1265-1,8-46-827-1
25,0,0,1,1,1,8-47-1258-1|8-47-1254-1|8-47-1222-1|8-47-1259-1|8-47-1252-1|8-47-1281-1|8-47-1638-1|8-48-1210-1|3-24-802-2|7-41-1210-1|8-47-1341-1|6-86-1210-1|1-16-1210-1|8-48-691-1|8-47-1263-1,8-47-1252-1
26,0,0,1,1,1,8-47-1638-1|8-47-1263-1|8-47-1262-1|8-47-1264-1|8-47-1258-1|8-47-1265-1|8-48-1210-1|8-47-1222-1|8-47-1281-2|8-47-1254-1|8-47-1252-1|8-47-1266-1|1-16-1210-1|8-47-1320-3|8-48-1562-2,8-47-1264-1
27,0,0,0,0,0,10-58-560-3|12-71-1209-1|12-70-1209-1|7-41-569-1|1-20-2115-3|12-70-625-6|2-22-710-2|8-47-1209-1|12-70-623-1|7-41-590-1|7-41-569-5|2-21-557-2|7-41-571-2|8-48-829-2|5-30-668-2,8-47-699-1
28,0,0,0,0,0,1-16-1210-1|6-86-1210-1|1-20-2114-3|7-41-1210-1|8-48-1210-1|12-70-768-1|7-41-575-1|7-40-1806-2|8-48-1563-2|8-48-829-2|12-70-1209-2|1-20-2113-3|6-86-768-1|7-39-570-1|6-38-588-5,8-48-829-1
29,0,0,0,0,0,10-65-397-4|10-65-408-6|10-65-393-3|10-65-404-4|2-21-1622-1|10-65-413-5|10-65-413-6|10-65-390-4|8-45-563-1|10-64-466-2|10-65-1534-1|10-65-413-4|10-57-410-3|10-64-466-1|10-65-402-3,8-45-563-6
30,0,1,1,1,1,8-47-1264-1|8-47-1638-1|8-47-1264-2|8-47-1263-1|8-47-1264-4|8-47-1264-3|8-48-1280-1|8-47-1265-1|8-47-1258-1|8-48-1280-2|8-47-1281-1|8-47-1262-1|8-47-1222-1|8-47-1341-1|8-47-1178-1,8-47-1264-2
31,0,0,0,0,0,8-45-563-1|10-57-414-2|10-57-433-3|8-47-1774-1|10-57-433-2|11-68-1216-2|10-57-409-1|10-65-415-2|10-59-435-3|8-47-1284-2|10-57-428-1|10-57-428-2|10-65-424-3|8-47-1780-1|10-57-1151-1,8-47-1284-1
32,0,0,1,1,1,10-58-823-1|1-16-823-1|6-36-1273-1|8-47-1206-1|1-20-2114-2|3-25-1900-1|3-24-1856-1|6-86-1210-1|10-65-404-2|1-16-1210-1|1-16-944-1|10-55-1288-1|10-58-1697-1|8-48-1210-1|1-16-1105-1,8-47-1206-1
33,1,1,1,1,1,8-48-1563-1|8-48-1563-2|8-47-1263-1|8-47-1301-1|8-48-1282-1|8-47-1284-2|8-47-1254-1|8-48-690-1|8-47-1258-1|8-47-1346-1|8-48-691-2|8-44-1327-1|1-16-1606-1|8-47-1772-1|1-16-938-2,8-48-1563-1
34,1,1,1,1,1,8-44-1327-3|8-47-1782-4|1-16-944-1|8-44-1327-2|8-47-1320-3|10-60-2087-2|8-44-1327-1|8-44-688-2|10-57-565-7|8-47-1266-1|10-58-2033-1|8-48-1330-1|10-57-565-14|8-47-1772-1|10-60-2087-11,8-44-1327-3
35,0,1,1,1,1,8-45-563-2|8-47-1770-1|8-47-1771-1|10-57-428-4|8-47-1772-1|10-65-1534-1|10-57-428-3|10-57-565-7|10-57-1151-1|8-45-1112-1|8-47-1284-2|8-47-1774-1|8-47-1782-3|8-47-1777-1|8-47-1320-3,8-47-1770-1
36,0,0,0,0,0,1-16-944-1|1-16-938-2|1-16-944-4|1-16-614-3|8-47-1254-1|1-16-944-3|1-16-1166-1|1-16-777-2|1-16-1210-1|1-16-823-1|1-16-1600-6|1-16-1602-5|1-20-2114-3|1-16-1103-3|1-16-620-1,8-47-1344-1
37,0,0,0,1,1,8-47-1320-3|8-44-688-2|8-47-1307-3|8-44-688-1|8-47-1324-2|8-47-1306-1|8-47-1307-2|10-64-650-2|8-48-1330-1|4-27-1764-1|8-44-1327-2|8-47-1307-1|10-94-2095-1|1-16-944-1|8-44-1327-3,8-47-1307-2
38,0,0,0,0,1,8-45-563-2|5-28-859-2|5-28-933-2|9-51-582-4|10-55-933-2|7-39-570-1|8-45-563-3|11-66-736-1|10-57-859-2|10-88-933-2|8-44-929-2|10-57-431-2|5-28-933-4|10-57-565-7|11-66-746-1,8-44-929-2
39,1,1,1,1,1,8-47-1893-1|2-21-1622-1|2-21-557-2|10-58-560-4|2-21-564-4|10-55-1146-1|2-21-556-5|10-56-1174-2|8-45-563-1|2-21-557-1|10-58-560-5|10-58-560-2|10-56-1174-1|3-25-806-1|10-57-566-5,8-47-1893-1
40,1,1,1,1,1,8-47-1320-3|8-47-1258-1|8-47-1320-2|8-47-1281-2|8-47-1284-2|8-48-828-5|8-47-1222-1|8-44-1325-1|8-44-1327-2|12-70-1209-1|8-46-826-1|8-47-1322-1|11-68-1216-2|8-45-563-1|8-47-1320-1,8-47-1320-3
41,0,0,0,0,0,1-16-1423-3|5-31-2063-1|7-40-1898-1|10-94-2102-2|7-40-1899-1|7-39-1899-1|8-47-1782-4|4-91-674-4|10-94-2232-2|10-94-2097-2|10-94-2091-2|7-39-1898-1|10-94-2095-2|10-64-650-2|7-39-651-2,8-44-1269-6
42,0,0,0,0,0,7-39-610-1|12-70-624-2|8-47-1346-2|8-47-1263-1|4-91-643-1|7-43-574-1|12-70-1209-2|8-47-1281-1|11-66-721-2|1-87-661-1|8-47-1782-4|7-43-957-1|8-48-1210-1|11-66-749-3|11-68-1143-1,8-47-1262-3
43,0,0,0,0,0,8-47-1768-1|8-47-1320-3|8-47-1777-1|8-47-1771-1|8-48-686-2|8-47-1782-4|8-47-1772-1|8-47-1346-2|10-57-565-5|10-57-410-2|8-47-1783-1|8-47-1774-1|8-44-688-2|8-47-1776-2|6-36-1609-2,8-47-1775-1
44,1,1,1,1,1,8-47-692-2|8-47-1346-2|8-48-1563-2|8-48-1562-2|1-16-1423-3|10-58-1697-1|8-48-1581-2|1-16-1109-1|1-87-661-1|8-48-1350-2|7-41-571-2|8-48-829-2|1-16-944-1|10-62-1697-1|10-58-559-7,8-47-692-2
45,0,0,0,1,1,7-39-610-1|8-48-1210-1|8-47-1346-2|8-47-1301-1|8-47-1263-1|1-20-2116-1|1-16-1109-1|1-16-944-4|8-47-1346-1|8-48-691-1|1-16-1210-1|8-47-1281-1|1-16-944-1|6-38-588-1|6-86-1210-1,8-48-691-1
46,0,0,0,0,0,9-51-582-4|8-45-563-1|8-47-1782-3|8-44-688-2|8-47-1307-1|8-47-1776-1|8-47-1207-1|10-57-428-1|8-47-1772-1|12-70-1209-1|8-47-1771-1|8-44-929-2|8-45-563-2|9-51-582-2|8-47-1774-1,8-47-1781-2
47,0,0,0,0,0,2-22-700-6|5-30-668-2|10-55-1269-6|10-63-1212-1|1-16-944-1|3-24-803-1|7-41-1212-1|2-21-594-2|3-24-1857-1|1-16-1210-1|10-65-425-1|2-23-752-1|10-55-1288-1|10-55-841-1|10-57-1285-1,8-48-828-4
48,1,1,1,1,1,8-44-688-2|10-65-404-4|8-47-1782-3|8-47-1782-4|10-55-818-3|12-70-622-3|9-52-584-5|10-65-397-4|8-44-927-4|8-47-1777-1|8-44-1327-2|10-94-2095-1|10-57-431-3|10-57-412-4|8-47-1320-3,8-44-688-2
49,0,0,0,0,0,10-57-1291-3|10-55-1146-1|10-57-1290-3|8-45-563-1|10-57-433-2|10-57-1285-3|10-57-1151-1|10-57-428-4|11-66-732-3|10-57-1291-1|11-66-736-1|10-65-424-2|10-65-395-5|2-21-594-2|8-45-1112-2,8-45-1113-3
50,0,1,1,1,1,8-48-828-5|8-48-828-1|10-57-1285-1|6-86-1210-1|8-47-1320-3|8-48-1210-1|8-48-828-3|1-16-1210-1|1-20-2114-3|8-47-1263-1|8-48-828-2|10-55-1288-1|10-56-1217-1|8-47-1346-1|2-22-700-6,8-48-828-1
51,0,1,1,1,1,8-48-828-5|8-46-826-1|8-46-827-3|7-41-571-1|6-38-589-1|8-46-826-2|8-47-1254-1|7-43-701-1|10-94-2093-1|8-45-563-1|10-58-559-6|8-47-1346-1|8-47-1207-1|10-57-1292-1|8-47-1782-3,8-46-826-1
52,0,0,0,0,0,8-45-563-1|2-21-557-2|2-21-561-3|10-58-559-3|10-58-560-3|2-21-557-1|10-58-559-1|2-21-1622-1|2-22-707-2|2-21-594-2|2-21-564-1|2-21-561-2|9-51-582-4|10-58-560-2|10-65-397-4,8-47-1204-1
53,1,1,1,1,1,8-48-1280-1|8-47-1301-1|8-47-1281-1|8-47-1254-1|8-48-1282-1|5-32-671-1|10-94-2097-1|8-48-1563-1|5-31-591-2|8-47-1341-1|8-47-1258-1|8-47-1259-1|8-44-1327-1|5-31-1323-1|12-70-1427-3,8-48-1280-1
54,1,1,1,1,1,8-47-1281-2|8-47-1258-1|4-97-1477-1|8-47-1222-1|8-47-1320-3|1-15-608-1|12-70-1209-1|10-88-932-3|4-91-607-1|9-49-722-1|10-60-2087-2|8-47-1281-1|7-41-953-1|8-46-830-1|9-52-585-5,8-47-1281-2
55,0,1,1,1,1,8-47-1258-1|8-47-1254-1|8-47-1259-1|8-47-1222-1|8-47-1281-1|8-47-1252-1|3-25-1900-1|8-47-1320-3|8-47-1638-1|8-47-692-2|10-94-2097-2|10-94-2095-1|8-48-1330-1|8-47-1263-1|10-62-1697-1,8-47-1254-1
56,0,0,0,1,1,8-47-1782-4|8-47-1780-2|8-47-1774-1|10-57-428-4|8-48-686-2|10-55-1146-1|8-47-1781-1|8-47-1771-1|8-47-1772-1|8-47-1781-3|10-57-428-1|8-45-563-1|10-57-566-5|8-47-1346-2|4-91-607-1,8-47-1781-3
57,0,0,0,0,1,8-45-563-2|10-57-428-4|10-65-1534-1|8-45-563-1|10-65-413-6|10-65-395-2|10-65-426-1|10-57-566-5|10-65-587-3|8-45-563-6|10-62-1873-1|10-57-920-1|2-21-564-4|10-57-565-13|8-45-563-5,8-45-563-5
58,0,0,0,1,1,10-57-565-5|10-57-428-4|8-45-563-1|10-57-428-1|10-57-1151-1|8-47-1284-2|8-47-1771-1|10-57-565-2|10-57-433-2|10-65-1534-1|10-55-1146-1|3-25-808-4|10-65-426-1|3-24-800-1|8-47-1769-1,8-47-1771-1
59,0,0,0,0,0,5-28-514-2|10-89-514-2|1-16-781-1|12-70-768-1|8-48-1210-1|8-47-1263-1|7-41-571-2|1-16-938-2|10-94-2102-1|1-16-1210-1|8-48-1563-2|8-47-1254-1|7-41-575-4|6-86-1210-1|7-41-571-1,8-48-1562-1
60,1,1,1,1,1,3-25-809-3|3-25-806-1|3-25-809-2|3-25-1900-1|3-25-806-2|3-25-808-4|3-25-1859-1|3-25-808-2|3-25-2368-2|3-24-1856-1|8-47-1281-1|3-25-2368-1|3-25-809-1|3-24-802-2|10-57-566-3,3-25-809-3
61,0,0,0,0,0,6-35-1790-3|3-90-1790-3|3-25-808-2|10-61-1790-2|3-25-807-2|3-25-807-3|10-61-1790-4|3-25-808-3|3-25-1900-1|3-25-808-4|3-24-1858-1|3-24-803-2|10-61-1790-3|3-24-803-1|3-25-811-1,3-90-1790-2
62,0,1,1,1,1,3-24-724-1|3-24-725-2|11-66-716-1|3-24-725-1|1-16-938-3|3-24-726-1|11-66-717-1|11-66-715-1|6-38-588-12|11-66-718-1|11-66-747-1|3-24-727-1|3-24-723-1|10-94-2094-1|11-66-735-1,3-24-725-2
63,1,1,1,1,1,3-25-567-3|10-58-559-5|3-25-567-1|10-58-559-3|6-38-588-12|8-47-1301-1|10-58-560-3|9-51-582-4|3-26-864-1|7-39-570-1|3-25-567-2|3-26-864-2|1-16-944-1|9-50-581-2|7-41-569-5,3-25-567-3
64,1,1,1,1,1,3-90-805-3|6-34-845-3|3-90-805-2|3-24-799-6|9-52-585-1|6-35-845-3|6-38-588-11|7-41-488-4|9-52-585-5|6-38-588-12|6-93-842-3|9-52-584-1|9-52-12-1|9-52-584-2|9-52-9-1,3-90-805-3
65,1,1,1,1,1,3-24-1856-1|3-24-1857-1|3-24-803-2|3-24-803-1|3-24-799-1|3-24-803-3|3-24-800-2|3-24-1836-1|3-24-800-1|1-16-944-1|3-24-1852-2|3-24-1858-2|10-57-566-2|5-29-486-4|3-24-1858-1,3-24-1856-1
66,1,1,1,1,1,3-25-567-4|10-65-397-4|3-25-567-3|11-66-736-1|10-55-818-3|7-39-570-1|1-16-1166-1|3-25-567-2|10-65-478-3|3-24-725-1|10-65-404-4|6-38-588-14|10-65-390-4|3-25-567-1|3-24-724-1,3-25-567-4
67,1,1,1,1,1,3-25-812-1|3-25-807-2|3-25-807-3|3-25-808-2|3-25-1900-1|3-25-808-3|3-25-807-1|3-25-1860-1|3-25-809-2|2-22-700-6|2-22-710-1|3-25-811-1|3-24-1857-1|3-24-800-2|3-25-666-1,3-25-812-1
68,0,0,0,0,0,3-25-1900-1|3-25-567-1|6-38-588-5|7-41-575-1|7-39-570-1|3-24-803-3|3-24-803-1|3-24-803-2|3-24-799-1|3-24-1858-1|3-24-1858-2|3-24-801-1|7-41-590-1|6-38-588-6|7-41-569-2,3-24-1852-1
69,1,1,1,1,1,3-90-1837-1|10-89-1269-7|10-62-1269-7|10-59-1269-7|7-40-479-4|5-31-2063-1|10-58-1697-1|8-47-692-2|10-59-1270-3|8-48-1330-1|7-39-1854-1|7-43-1270-3|7-43-574-2|8-44-1327-3|7-40-1854-1,3-90-1837-1
70,0,0,0,0,0,11-68-1216-2|8-45-563-1|10-65-587-2|1-16-1607-1|10-57-565-8|10-57-566-3|10-58-559-4|10-65-408-4|10-57-565-9|8-47-1774-1|10-57-565-6|8-47-1284-2|10-65-587-1|10-64-568-1|10-65-397-2,3-26-1156-1
71,0,0,0,0,0,3-24-800-1|3-24-1856-1|3-24-1836-1|3-24-803-2|3-24-1857-1|3-24-799-1|3-24-803-1|3-24-1852-2|3-24-800-2|3-24-1836-2|3-25-808-2|10-65-415-2|3-24-799-2|3-24-1038-3|10-57-411-1,3-24-723-1
72,0,0,0,0,1,3-25-809-3|3-25-1900-1|3-25-808-4|3-24-1836-1|3-24-1836-3|3-24-1856-1|3-25-808-2|3-25-812-1|3-24-1857-1|3-25-807-2|3-24-802-2|3-24-1038-1|3-25-1861-2|3-25-807-3|3-25-806-2,3-25-1861-2
73,1,1,1,1,1,3-26-866-1|9-50-581-2|9-50-581-1|10-65-1534-1|10-57-412-1|10-65-408-4|4-27-1766-1|10-65-404-4|4-27-1766-2|1-16-1606-1|10-65-397-4|10-65-408-9|9-50-581-5|6-37-2327-2|10-65-398-4,3-26-866-1
74,0,0,0,0,0,10-58-560-4|3-24-1858-1|9-52-585-5|7-41-575-1|6-38-588-6|3-24-1858-2|7-39-570-1|9-51-582-4|9-50-580-1|9-52-585-3|10-65-395-3|9-50-579-2|10-57-566-1|3-24-1857-1|7-41-569-2,3-24-799-6
75,0,0,0,1,1,10-65-397-4|3-25-808-4|10-65-408-6|10-65-587-3|3-25-1900-1|10-65-413-6|10-64-586-3|2-21-594-2|10-65-1534-1|3-82-1862-1|10-65-408-4|3-25-808-2|10-65-408-7|10-65-420-6|3-24-1858-2,3-82-1862-1
76,0,1,1,1,1,3-25-1859-1|3-25-812-1|3-25-807-2|3-25-1900-1|3-24-1857-1|3-25-807-3|3-24-800-2|3-24-802-2|10-61-1790-4|3-25-808-2|3-25-813-1|2-22-700-6|3-24-803-1|3-25-2368-2|3-25-807-1,3-25-807-2
77,0,1,1,1,1,3-24-799-1|3-24-803-2|3-24-800-1|3-24-803-3|3-24-803-1|3-24-1857-1|3-24-800-3|3-24-1856-1|3-24-800-2|3-24-1836-1|3-24-802-3|3-24-1858-1|3-24-1858-2|3-24-802-1|3-24-799-2,3-24-803-2
78,0,1,1,1,1,3-25-1859-1|3-25-1900-1|3-25-811-1|3-25-1860-1|3-25-809-3|3-25-807-2|3-25-807-3|3-25-807-1|3-25-812-1|3-24-1856-1|3-25-1860-4|3-24-800-2|3-24-981-1|3-25-809-1|3-25-1860-3,3-25-811-1
79,1,1,1,1,1,3-24-2367-1|3-25-1900-1|3-24-802-2|6-38-589-4|3-25-2368-5|3-24-799-5|3-24-800-2|3-25-2368-2|3-24-981-1|3-24-799-4|3-25-1859-1|10-94-2095-1|3-24-803-2|1-87-662-1|3-90-805-2,3-24-2367-1
80,0,0,0,0,0,10-57-565-5|10-57-565-2|10-65-397-4|10-65-404-4|10-57-429-1|10-65-400-1|10-65-400-4|6-37-2327-2|10-65-395-2|10-65-400-2|10-65-404-2|8-45-563-1|10-56-1217-1|10-57-566-4|10-65-397-2,3-26-1156-7
81,0,0,1,1,1,3-25-1860-4|3-25-1900-1|3-25-807-3|3-25-1860-3|3-25-807-2|3-25-1860-1|3-25-807-1|3-25-1859-1|3-25-812-1|3-24-1857-1|3-25-808-2|3-24-803-1|3-24-1858-2|3-25-811-1|3-25-1861-1,3-25-1860-3
82,0,1,1,1,1,3-24-801-1|3-24-801-2|3-24-981-1|9-50-1615-1|7-40-1794-1|3-24-801-3|7-40-1854-1|3-24-1858-2|7-41-575-1|7-40-1795-1|7-40-1793-1|7-39-1793-1|3-24-1836-1|7-39-1854-1|7-40-1806-1,3-24-981-1
83,1,1,1,1,1,3-24-1038-1|3-25-1900-1|3-24-1038-3|3-24-1038-2|3-24-1856-1|3-24-802-2|3-24-800-3|3-24-1836-1|3-24-802-3|3-24-981-1|3-24-802-1|6-38-589-4|3-24-1857-1|3-24-799-2|3-24-799-5,3-24-1038-1
84,1,1,1,1,1,3-25-567-1|9-51-582-4|10-58-559-2|6-35-845-1|9-51-582-2|10-62-743-1|6-34-845-1|9-50-579-3|3-25-567-3|9-50-579-2|9-50-355-1|9-52-585-2|2-21-561-2|10-65-587-2|9-50-580-1,3-25-567-1
85,1,1,1,1,1,3-26-775-1|3-25-1900-1|3-24-802-2|3-24-802-1|3-24-1038-1|3-24-1857-1|3-25-1859-1|3-24-802-3|3-24-1856-1|3-24-1858-2|3-24-799-5|3-24-1836-1|3-24-1836-3|6-37-375-7|3-24-726-1,3-26-775-1
86,0,0,0,0,0,10-65-404-1|10-65-404-4|10-65-402-1|10-65-400-2|10-65-404-2|10-57-566-5|10-65-400-1|10-65-398-2|10-65-390-2|10-57-565-5|10-65-397-4|10-63-1212-1|10-65-413-6|10-65-397-2|10-65-395-2,3-26-867-1
87,1,1,1,1,1,3-24-802-1|3-25-1900-1|3-24-799-1|3-24-800-3|3-24-800-1|3-24-802-2|3-24-726-1|3-24-803-2|3-24-1852-2|3-24-1038-3|3-24-1856-1|3-24-799-2|3-24-803-1|3-24-803-3|3-24-1857-1,3-24-802-1
88,0,1,1,1,1,3-24-799-2|3-24-1836-3|3-24-1836-1|3-24-1857-1|3-24-799-1|3-24-800-1|3-24-1856-1|3-24-1836-2|6-35-845-3|6-35-1790-3|3-24-803-2|3-24-803-1|3-24-800-2|3-24-1038-3|3-90-1790-3,3-24-1836-3
89,0,0,0,0,0,12-71-764-2|2-21-594-2|7-41-572-2|3-24-1836-1|12-70-1427-3|6-37-375-4|10-65-478-2|3-24-1856-1|5-30-668-2|7-39-570-1|3-90-1790-4|10-61-1790-4|6-38-588-4|3-24-800-1|3-24-1857-1,3-26-765-1
90,1,1,1,1,1,3-25-809-1|3-25-807-3|3-25-807-2|3-25-1900-1|3-25-809-2|3-25-808-2|3-24-1836-3|3-24-724-2|3-24-1858-1|3-24-1858-2|3-25-808-3|3-24-2367-1|7-41-484-2|3-25-806-1|3-25-808-4,3-25-809-1
91,0,0,0,0,0,3-25-1900-1|3-24-802-1|3-24-800-2|3-24-981-1|3-24-799-1|3-24-1857-1|3-24-800-1|3-24-801-3|3-24-803-2|3-24-802-2|3-24-1858-2|3-24-800-3|3-24-803-1|3-24-1858-1|3-24-1852-2,3-24-799-3
92,0,0,1,1,1,3-24-800-2|3-24-800-1|3-24-799-2|3-24-799-1|3-24-800-3|3-24-1836-3|3-24-1858-1|3-24-803-2|3-24-1856-1|3-24-724-1|3-24-803-1|3-24-1857-1|3-24-1858-2|3-24-803-3|3-24-1836-1,3-24-800-3
93,1,1,1,1,1,9-51-582-4|9-51-582-2|9-51-583-4|9-51-582-1|7-41-569-5|9-52-585-4|9-50-580-3|3-24-1857-1|3-24-1856-1|9-51-582-6|9-49-722-1|5-32-462-1|9-50-579-3|10-65-402-1|10-58-560-3,9-51-582-4
94,0,0,0,0,1,9-51-582-4|9-51-582-1|9-51-582-2|9-50-579-2|9-51-582-6|2-21-556-1|9-50-579-1|9-50-581-2|9-51-583-1|2-21-561-2|9-51-582-3|9-51-583-4|10-57-565-7|10-57-566-1|9-52-585-5,9-51-583-4
